lang wrong name;true last name;true first name
en Asimov Issac;Asimov;Isaac
en Le Giun Ursula;Le Guin;Ursula
en Lem Stanislav;Lem;Stanisław
en Lem Stanislaw;Lem;Stanisław
en Mvneill Graham;Mcneill;Graham
en Stasheff Cristopher;Stasheff;Christopher
ru Eddings David;Эддингс;Дэвид
ru Gaiman Neil;Гейман;Нил
ru Heidegger Martin;Хайдеггер;Мартин
ru Mak Ivan;Макарченко;Иван
ru Pratchett Terry;Пратчетт;Терри
ru Rennie Gordon;Гордон;Ренни
ru Shakespear William;Шекспир;Уильям
ru Tenn William;Тенн;Уильям
ru Tolkien John;Толкиен;Джон
ru Wars Star;Андерсон;Кевин
ru Wolf Lord;LordWolf; 
ru Абрамов Аександр;Абрамов;Александр
ru Авраменко А.;Авраменко;Александр
ru Амнуэль Павел (Песах);Амнуэль;Павел
ru Амнуэль Песах;Амнуэль;Павел
ru Андронати Ира;Андронати;Ирина
ru Арно Серж;Арно;Сергей
ru Артемьев Р.;Артемьев;Роман
ru Ахманов Mихаил;Ахманов;Михаил
ru Баталов ©;Баталов;Сергей
ru Бекнел Рексана;Бекнел;Рексанна
ru Белов Александр Константинович;Белов;Александр
ru Белов (Селидор) Александр;Белов;Александр
ru Берджес Энтони;Берджесс;Энтони
ru Бодрийар Жан;Бодрийяр;Жан
ru Брайан Фрэнсис;Брайан;Френсис
ru Бредбери Рэй;Брэдбери;Рэй
ru Брекетт Ли;Брэкетт;Ли
ru Бреккет Ли;Брэкетт;Ли
ru Бубнов Андрей.;Бубнов;Андрей
ru Буджолд        Рис. Пашковского Лоис;Буджолд;Лоис
ru Буджолд Рис. Пашковского Лоис;Буджолд;Лоис
ru Бэккер Р.;Бэккер;Скотт
ru Бэккер Р. Скотт;Бэккер;Скотт
ru Ван Вогт А.;Ван Вогт;Альфред
ru Ван Вогт Альфред Элтон;Ван Вогт;Альфред
ru Ван Вогт;Ван Вогт;Альфред
ru Веров Я;Веров;Ярослав
ru Витицкий С;Витицкий;С.
ru Ворнхольт Джон;Ворнхолт;Джон
ru Вульф Джин;Вулф;Джин
ru Вэнс Джeк;Вэнс;Джек
ru Гарсиа-И-Робертсон Р.;Гарсиа-И-Робертсон;Родриго
ru Гарсия-И-Робертсон Р.;Гарсиа-И-Робертсон;Родриго
ru Голсуори Джон;Голсуорси;Джон
ru Горькавый Ник.;Горькавый;Ник
ru Гулард Рон;Гуларт;Рон
ru Де Камп;Де Камп;Лайон
ru Де Камп Лайон, Лин Картер;Де Камп;Лайон
ru Де Камп Лион;Де Камп;Лайон
ru Де Ченси;Де Ченси;Джон
ru Диего Элисео;Элисео;Диего
ru Дик Филипп;Дик;Филип
ru Дилэни Самуэль;Дилэни;Сэмюэль
ru Дилэни Сэмюель;Дилэни;Сэмюэль
ru Дитс Вильям;Дитц;Уильям
ru `Док` Смит Эдвард Элмер;Смит;Эдвард Элмер
ru Дункан Дэйв;Дункан;Дейв
ru Жаботинский Владимир (Зеев);Жаботинский;Владимир
ru Живой А.;Живой;Алексей
